rowid	mod-7	mod-12	mod-13	mod-14	mod-23	mod-109	mod-110	mod-111	mod-114	mod-127	mod-128	mod-131	CD34	CD68	CNP	GFAP	MBP	OLIG2	PC1
projid10405008	0.046965	0.001649	-0.018122	-0.050593	-0.032732	0.025074	0.003705	0.022484	0.025619	-0.022201	-0.003157	-0.038567	-0.009677	-0.004687	0.027687	0.027688	-0.011527	-0.013016	0.026097
projid10424475	0.019370	-0.044330	-0.051488	-0.041737	-0.040100	0.037602	0.018806	0.004724	0.069092	-0.077255	-0.055836	-0.054504	0.029509	0.085242	0.019444	0.109340	-0.003918	0.002466	0.039553
projid10433070	-0.022252	0.015355	0.032157	0.019188	0.007368	-0.022127	-0.062876	-0.019935	-0.009701	0.014939	0.012885	0.012315	-0.006164	0.008519	-0.067887	0.002208	-0.029670	-0.066432	-0.004643
projid10435090	0.013779	0.017651	0.019066	0.004443	0.041408	0.000985	-0.039271	0.018847	-0.033721	0.051173	0.057026	0.039823	-0.033575	-0.018606	-0.040958	-0.047826	0.070884	0.017773	-0.003843
projid10436131	-0.050075	0.069899	0.082418	0.069395	0.039952	-0.071707	-0.033463	-0.053713	-0.055881	0.061695	0.077158	0.049784	-0.016724	-0.087396	0.007629	-0.120146	-0.022012	0.032484	-0.034131
projid10447620	0.058735	-0.006204	0.003600	-0.003709	-0.020684	0.016269	-0.048850	-0.012796	0.001962	-0.014730	-0.025011	-0.009053	0.033183	-0.045303	-0.026955	0.023460	-0.091215	-0.048138	-0.004223
projid10460587	0.048059	0.002608	0.000095	0.006164	-0.021431	0.019211	0.017242	-0.014926	0.001302	-0.039670	-0.050066	-0.036616	-0.006154	-0.045351	0.019093	-0.000880	0.071201	0.000527	-0.007287
projid10473384	0.023420	-0.023340	-0.028339	-0.006234	-0.068155	0.025688	0.038962	-0.006927	0.046695	-0.061142	-0.072251	-0.062105	0.026247	-0.022738	0.021763	0.028199	0.042003	0.033070	0.023577
projid10478041	0.024974	0.079059	0.045223	0.069736	0.052647	-0.040011	-0.087734	-0.075713	-0.049656	0.001611	0.051194	0.021711	-0.023211	-0.072622	-0.098554	-0.050003	0.049793	-0.013386	-0.076297
projid10480383	0.074530	-0.025402	-0.041351	-0.001022	-0.051788	0.033421	0.001972	-0.018419	0.059672	-0.068861	-0.038761	-0.040661	0.018748	0.024626	0.012833	0.023455	-0.034373	0.011263	0.010046
projid10490993	-0.021880	0.042791	0.049700	0.034002	0.068172	-0.042811	-0.059083	-0.032104	-0.048218	0.054865	0.079830	0.061260	-0.072239	0.023177	-0.047105	-0.047089	-0.078356	-0.027225	-0.046747
projid10502798	0.072504	-0.099952	-0.137073	-0.088156	-0.072204	0.120185	0.020007	0.081502	0.107809	-0.082078	-0.079599	-0.073466	0.053823	0.024424	-0.001017	0.053841	-0.050584	0.016001	0.068790
projid10510090	-0.080965	-0.092640	-0.020865	-0.052740	-0.080960	0.024655	0.092019	0.080591	0.058446	0.010465	-0.002352	-0.020278	0.104746	-0.001070	0.090445	0.046218	-0.001182	0.045115	0.109637
projid10516762	-0.014574	0.023213	0.053088	0.044316	0.025038	-0.024850	-0.025819	-0.010791	-0.040300	0.037243	0.038761	0.034753	0.033309	-0.013091	-0.013068	-0.045738	-0.018457	0.009081	-0.019548
projid10518782	0.003601	0.046407	0.020520	0.051178	0.035203	-0.006023	-0.023966	-0.037314	0.000116	0.001100	0.048003	0.020506	-0.068920	-0.029386	-0.024787	0.076550	0.002634	-0.004972	-0.034047
